Title of Work,Title of Work (AI check),Author Full Name,Author Full Name (AI Check),"Authorship Type (single, co-author, etc.)",Birth-Death Years of Author(s)/Creator(s),Canonical/Scholarly Translation (Best Overall),Best Public Domain Translation,Complementary/Poetic/Alternative Translation,Top 3 Scholarly Translations (Consolidated),Editor(s)/Compiler(s),Edition Integrity,Peer Review/Canonical Status,Year of Original Publication (canonical),Year of Original Publication (AI check),Language of Origin (AI suggestion),Language of Origin (Linked),Language of This Edition/Publication,Summary Abstract,Cultural Origin (Civilizational root),Tradition / Lineage (Canon-level streams),Geographic Context (Place of composition/use),Historical Era,Publisher/Imprint,Place of Publication,Medium of Expression,Form/Genre,Primary Domain,Primary Subdomain(s),Subdomain Confidence,Other Primary Domains,Other Subdomains,Scale/Level Focus,ITQ Emphasis (where the work speaks from),ITQ Deficit Treated (what the work helps strengthen),ITQ Practice (what it invites the reader to do),SD Digestible For (best audience fit now),SD Bridge Move,SD Contraindication (allergic reaction),Kegan Order Best-Fit,Kegan Likely Move,SDT Needs Targeted,SDT Guidance Style,Author Positionality (Self-description/stance),Diaspora / Transcultural Status,Epistemic Mode(s)/Ways of Knowing,Evidence Base,Rigor/Evidence Strength,Ontological Stance,Cosmology,Ethical Orientation,Political-Economy Lens,Themes/Concepts,Key Words,Core Challenges Addressed,Key Questions,Proposed Orientations,Archetypes/Motfis,Metaphors/Imagery,Predecessors/Sources,Successors/Influenced Works,Dialogues/Contradictions,Opposing Work(s),Sibling/Parallel Works,Related Movements/Schools,Practice Modalities,Application Domains,Coaching & Therapeutic Use Cases,Cautions/Contraindications,More-than-Human Orientation,Intended Audience,Difficulty/Density,Tone/Style,Cultural Accessibility Notes,Length,Illustrations/Diagrams,Models/Frameworks,Media Type,File Type,Primary Links,Availability,Identifiers,Rights/License,Copyright Holder,Copyright Expiration,Jurisdiction,Source Provenance,Source Link (AI),Node ID,Embedding Vector ID(s),Entities Extracted,Coverage Map,Granularity Prepared,Auto-Tag Confidence,Curator(s),Curation Date,Validation Status,Evidence Claims/Audit,Key Quotations,Languages copy,Row #,Editions
Thinking Machines,,Melanie Mitchell,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9106,
Brooklyn,,Colm Tóibín,,,,,,,,,,,2009,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9107,
An Autobiography: Cinema and the Arab Renaissance (Posthumous Complete Edition),,Youssef Chahine,,,,,,,,,,,2019,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic,9108,
The Perennial Philosophy,,Aldous Huxley,,,,,,,,,,,1945,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9109,
Tibetan Medicine Texts,,Pema Dorje,,,,,,,,,,,,,,,,,,,,,,,,,"Health, Healing & Somatics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Tibetan,9110,
Aztec Thought and Culture: A Study of the Ancient Nahuatl Mind,,Miguel León-Portilla,,,,,,,,,,,2020,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Spanish/English,9111,
Classic of Mountains and Seas (Shanhaijing),,Mythic geographers,,,,,,,,,,,0,,,,,,,,,,,,,,"Religion, Spirituality & Myth",Depth & Archetypal Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Classical Chinese,9112,
My Secret Is Silence,,Adyashanti,,,,,,,,,,,2003,,,,,,,,,,,,,,"Religion, Spirituality & Myth",Mysticism & Esotericism,0.95,"""Literature, Art & Aesthetics"",Philosophy & Ethics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9113,
Sovereign: The New Science of Emotional Mastery,,Emma Seppälä,,,,,,,,,,,2025,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Positive Psychology & Human Potential,Cognitive & Affective Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9114,
Sociopath: A Memoir,,Patricia Gagne,,,,,,,,,,,2024,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Developmental & Social Psychology,Cognitive & Affective Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9115,
Government Work Reports: Economic Leadership in China (Final Collection),,Li Keqiang,,,,,,,,,,,2023,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Chinese,9116,
Various Quranic Commentaries and Anti-Slavery Treaties,,Yusuf al-Fulani,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic/Hausa,9117,
A Dictionary of Maqiao,,Han Shaogong (tr. Julia Lovell),,,,,,,,,,,1996,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9118,
Book 91 (Social War) and Book 120s (Sulla/Catiline era) have a few slightly longer paraphrased sections from manuscripts or historians like Florus.,,Titus Livy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9119,
Selected Prose,,Matthew Arnold,,,,,,,,,,,1865,,,,,,,,,,,,,,"Culture, Language & Anthropology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9120,
"Spirituality: Forms, Foundations, Methods",,Kees Waaijman,,,,,,,,,,,2020,,,,,,,,,,,,,,"Religion, Spirituality & Myth","Transpersonal & Altered States,Depth & Archetypal Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Dutch/English,9121,
Whatever Happened to the Egyptians?,,Galal Amin,,,,,,,,,,,20002013,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9122,
Watership Down,,Richard Adams,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9123,
Education Automation,,Buckminster Fuller,,,,,,,,,,,1962,,,,,,,,,,,,,,Education & Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9124,
The Brain: The Story of You,,David Eagleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9125,
Tools of Titans — Expanded Edition,,Tim Ferriss,,,,,,,,,,,2025,,,,,,,,,,,,,,Personal Development & Well-Being,Positive Psychology & Human Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9126,
Modern Times,,Paul Johnson,,,,,,,,,,,1983,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9127,
The Courage to Learn Again: Midlife & Later-Life Education in Japan,,Yoshiko Kurata,,,,,,,,,,,2015,,,,,,,,,,,,,,Education & Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Japanese,9128,
The Broken Earth Trilogy,,N.K. Jemisin,,,,,,,,,,,2015,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9129,
Akka's Vachanas,,Akka Mahadevi,,,,,,,,,,,0,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Kannada,9130,
Behaviorism,,John B. Watson,,,,,,,,,,,1924,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Developmental & Social Psychology,Cognitive & Affective Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9131,
Spiral,,Hiromi Uehara,,,,,,,,,,,2006,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,N/A (Musical),9132,
The Dance of Reality: A Psychomagical Autobiography (Expanded Edition),,Alejandro Jodorowsky,,,,,,,,,,,2014,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Spanish/French,9133,
All Blacks Don't Cry,,John Kirwan,,,,,,,,,,,,,,,,,,,,,,,,,"Health, Healing & Somatics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9134,
Betaal Pachisi,,Ishwar Chandra Vidyasagar,,,,,,,,,,,1847,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Bengali,9135,
Epistemology and Rationality (Systems Approach),,Jesús Mosterín,,,,,,,,,,,2018,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Spanish,9136,
How Minds Change,,David McRaney,,,,,,,,,,,2022,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Developmental & Social Psychology,Cognitive & Affective Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9137,
Our Malady,,Timothy Snyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9138,
Lone Wolf (European wolf migration),,Adam Weymouth,,,,,,,,,,,2025,,,,,,,,,,,,,,Ecology & Deep Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9139,
Quadrature of the Parabola,,Archimedes,,,,,,,,,,,0,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Ancient Greek,9140,
Nomadic Economic Systems: Traditional and Modern Networks in Mongolia,,Batbayar Tsedendamba,,,,,,,,,,,2020,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Mongolian,9141,
Escape from Freedom,,Erich Fromm,,,,,,,,,,,1941,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Developmental & Social Psychology,Depth & Archetypal Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9142,
The Next Billion Users,,Payal Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9143,
Running the Room,,Tom Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9144,
First Things First,,Stephen R. Covey et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9145,
From NATO to Presidency: Military Leadership in Democracy,,Petr Pavel,,,,,,,,,,,2023,,,,,,,,,,,,,,Leadership & Management Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Czech,9146,
Sustainability and the Civil Commons: Rural Communities in the Age of Globalization,,Jennifer Sumner,,,,,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9147,
50 Prosperity Classics,,Tom Butler-Bowdon,,,,,,,,,,,2008,,,,,,,,,,,,,,Personal Development & Well-Being,Positive Psychology & Human Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9148,
A Love Supreme,,John Coltrane,,,,,,,,,,,1965,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,N/A (Musical),9149,
Hymns to the Night and Other Selected Writings,,Novalis (Georg Philipp Friedrich Freiherr von Hardenberg),,,,,,,,,,,17971800,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Poetry & Fragments,9150,
Waking Up: A Guide to Spirituality Without Religion,,Sam Harris,,,,,,,,,,,2014,,,,,,,,,,,,,,"Religion, Spirituality & Myth",Transpersonal & Altered States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9151,
Thing Explainer: Complicated Stuff in Simple Words (2015),,Randall Munroe,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9152,
Ágilmente: Los secretos de las mentes flexibles y exitosas,,Estanislao Bachrach,,,,,,,,,,,2013,,,,,,,,,,,,,,Personal Development & Well-Being,Positive Psychology & Human Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Spanish,9153,
Selected Tales,,Henry James,,,,,,,,,,,1864,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9154,
"I'm Telling the Truth, but I'm Lying",,Bassey Ikpi,,,,,,,,,,,2019,,,,,,,,,,,,,,"Health, Healing & Somatics","Psychotherapy & Counseling Modalities,Developmental & Social Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9155,
In the Dream House,,Carmen Maria Machado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9156,
Winter in the Blood,,James Welch,,,,,,,,,,,1974,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,9157,
The Ideological Brain,,Leor Zmigrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9158,
A General Scholium,,Isaac Newton,,,,,,,,,,,1713,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9159,
Ecological Literacy: Educating Our Children for a Sustainable World,,David Orr,,,,,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9160,
"The Science of Breath and the Philosophy of the Tattvas — William Walker Atkinson (Yogi Ramacharaka) (1909, Chicago)",,William Walker Atkinson (as Yogi Ramacharaka),,,,,,,,,,,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9161,
Dis Poem,,Mutabaruka,,,,,,,,,,,1980,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Jamaican Patois/English,9162,
"Kemet, Afrocentricity and Knowledge",,Molefi Kete Asante,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9163,
The Gospel According to Woman: Christianity’s Creation of the Sex War in the West,,Karen Armstrong,,,,,,,,,,,1986,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9164,
"Guide to Greece: Volume 1, Central Greece",,Pausanias,,,,,,,,,,,2,,,,,,,,,,,,,,"Culture, Language & Anthropology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9165,
Neurophilosophy: Toward a Unified Science of the Mind-Brain,,Patricia Smith Churchland,,,,,,,,,,,1986,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Neuroscience of Mind,Cognitive & Affective Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9166,
Beiträge zur Philosophie (Vom Ereignis) (Contributions to Philosophy [From Enowning]),,Martin Heidegger,,,,,,,,,,,1935,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,German,9167,
Awakening the Heroes Within: Twelve Archetypes to Help Us Find Ourselves and Transform Our World,,Carol S. Pearson,,,,,,,,,,,1991,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Depth & Archetypal Psychology,Positive Psychology & Human Potential",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9168,
"Astrology, Psychology & the Four Elements",,Stephen Arroyo,,,,,,,,,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9169,
Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype,,Clarissa Pinkola Estés,,,,,,,,,,,1992,,,,,,,,,,,,,,"Consciousness, Mind & Psychology",Depth & Archetypal Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9170,
Foundations of an African Ethic: Beyond the Universal Claims of Western Morality,,Bénézet Bujo,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/French,9171,
WTF?: What’s the Future and Why It’s Up to Us,,Tim O'Reilly,,,,,,,,,,,2015,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9172,
Ethics in the Age of AI,,Peter Singer,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9173,
The Epic of Gilgamesh: The Babylonian Epic Poem and Other Texts in Akkadian and Sumerian,,Andrew George,,,,,,,,,,,0,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Poem,9174,
Haben: The Deafblind Woman Who Conquered Harvard Law,,Haben Girma,,,,,,,,,,,2019,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9175,
Chamber Music,,James Joyce,,,,,,,,,,,1907,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9176,
Kitab al-Jabr wa-l-Muqabala (Book of Algebra),,Muhammad ibn Musa al-Khwarizmi,,,,,,,,,,,1,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic,9177,
Arrow of God,,Chinua Achebe,,,,,,,,,,,1964,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9178,
Spring Torrents,,Ivan Turgenev,,,,,,,,,,,1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,9179,
Interaction Ritual Chains (Reissue),,Randall Collins,,,,,,,,,,,2025,,,,,,,,,,,,,,"Culture, Language & Anthropology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9180,
Trickster’s Way: The Journal of Trickster Research,,Jerome S. Bernstein; Marcella Bakur Weiner,,,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9181,
The Legend of Lakshmi Prasad,,Twinkle Khanna,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9182,
